,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
44,44,int_rate:12.025-15.74,0.30613423207304924,7.239221346651772e-17,int_rate,23.619062601840685,24.0,0.3809373981593147,24.0
45,45,int_rate:15.74-20.281,0.11317927589105965,9.347299667952825e-05,int_rate,8.73207933787707,9.0,0.26792066212293086,9.0
46,46,mths_since_earliest_cr_line:141-164,0.05577291664084965,0.024975344003076213,mths_since_earliest_cr_line,4.303027468398691,4.0,-0.30302746839869066,4.0
47,47,mths_since_earliest_cr_line:165-247,0.037166991427156425,0.06421179543477713,mths_since_earliest_cr_line,2.8675313155786273,3.0,0.13246868442137272,3.0
48,48,mths_since_earliest_cr_line:248-270,0.07948554977803582,0.002452017631389326,mths_since_earliest_cr_line,6.132519592585701,6.0,-0.13251959258570079,6.0
49,49,mths_since_earliest_cr_line:271-352,0.1220459226094183,1.8903922525944968e-07,mths_since_earliest_cr_line,9.416164493892374,9.0,-0.4161644938923743,9.0
50,50,mths_since_earliest_cr_line:>352,0.12936193112840297,1.0689719957840597e-06,mths_since_earliest_cr_line,9.980613827230131,10.0,0.019386172769868537,10.0
51,51,inq_last_6mths:0,0.6662364945922555,3.536560125015308e-14,inq_last_6mths,51.40190094667528,51.0,-0.4019009466752834,51.0
52,52,inq_last_6mths:1-2,0.5197302676454281,3.2544717629340686e-09,inq_last_6mths,40.09855952554699,40.0,-0.09855952554698888,40.0
53,53,inq_last_6mths:3-6,0.3095122075837288,0.00046133688494995036,inq_last_6mths,23.879682312723556,24.0,0.12031768727644376,24.0
54,54,acc_now_delinq:>=1,0.18037413323245263,0.08866426823663787,acc_now_delinq,13.91633962566288,14.0,0.08366037433711959,14.0
55,55,annual_inc:20K-30K,-0.08152142149180973,0.05299329791529757,annual_inc,-6.289592459384434,-6.0,0.28959245938443434,-6.0
56,56,annual_inc:30K-40K,-0.01892738064165414,0.6401203665688695,annual_inc,-1.460297286052685,-1.0,0.46029728605268505,-1.0
57,57,annual_inc:40K-50K,0.07567921685507081,0.06121471559634603,annual_inc,5.838850978716,6.0,0.16114902128400033,6.0
58,58,annual_inc:50K-60K,0.14254625154323994,0.0004994968245642416,annual_inc,10.997818885063893,11.0,0.0021811149361070648,11.0
59,59,annual_inc:60K-70K,0.2180970889665742,1.9086088693872875e-07,annual_inc,16.826765052369417,17.0,0.17323494763058278,17.0
60,60,annual_inc:70K-80K,0.29154444403421464,8.74737222851258e-12,annual_inc,22.49342201371269,22.0,-0.49342201371268857,22.0
61,61,annual_inc:80K-90K,0.3673971424749871,1.4573857701531132e-16,annual_inc,28.345657553851982,28.0,-0.34565755385198216,28.0
62,62,annual_inc:90K-100K,0.38719455788595786,4.208676370054049e-17,annual_inc,29.87308031471064,30.0,0.1269196852893586,30.0
63,63,annual_inc:100K-120K,0.46509828505515616,2.3227289775368e-24,annual_inc,35.883558125264514,36.0,0.11644187473548584,36.0
64,64,annual_inc:120K-140K,0.5523819416750355,1.8568887650351034e-26,annual_inc,42.61772220702121,43.0,0.3822777929787904,43.0
65,65,annual_inc:>140K,0.4915402598487134,4.990144352932702e-25,annual_inc,37.92362614946475,38.0,0.07637385053524781,38.0
66,66,dti:<=1.4,0.2524521400714395,0.002458320087283308,dti,19.477347763229496,19.0,-0.47734776322949557,19.0
67,67,dti:1.4-3.5,0.37153625474294044,1.1007578613860848e-07,dti,28.665000970989034,29.0,0.3349990290109659,29.0
68,68,dti:3.5-7.7,0.38444267107819124,1.7610240174615034e-10,dti,29.66076499686566,30.0,0.3392350031343412,30.0
69,69,dti:7.7-10.5,0.3197082497180092,9.331941304122605e-08,dti,24.66633382774625,25.0,0.33366617225374995,25.0
70,70,dti:10.5-16.1,0.24113477068743686,3.0828838371557605e-05,dti,18.604182896436257,19.0,0.39581710356374344,19.0
71,71,dti:16.1-20.3,0.1398295200976191,0.015823450949665172,dti,10.788215896035224,11.0,0.2117841039647761,11.0
72,72,dti:20.3-21.7,0.12744458606886586,0.035637691765024154,dti,9.832685604097835,10.0,0.16731439590216546,10.0
73,73,dti:21.7-22.4,0.09202183727752708,0.1551585422559779,dti,7.099727203574148,7.0,-0.09972720357414833,7.0
74,74,dti:22.4-35,0.05025659541617158,0.3802155763910633,dti,3.877428751602967,4.0,0.12257124839703293,4.0
75,75,mths_since_last_delinq:Missing,0.11041069390102241,0.03459893720185593,mths_since_last_delinq,8.518475942731715,9.0,0.4815240572682846,8.0
76,76,mths_since_last_delinq:4-30,0.13694631439415364,0.00947760616259098,mths_since_last_delinq,10.565768979390223,11.0,0.4342310206097775,11.0
77,77,mths_since_last_delinq:31-56,0.1830832144563094,0.0006159106789016919,mths_since_last_delinq,14.125352379925776,14.0,-0.12535237992577564,14.0
78,78,mths_since_last_delinq:>=57,0.1360923581574838,0.012906037940256111,mths_since_last_delinq,10.499884005741395,10.0,-0.4998840057413947,10.0
79,79,mths_since_last_record:Missing,0.32086071792824583,7.955612767197661e-05,mths_since_last_record,24.755249786670156,25.0,0.24475021332984426,25.0
80,80,mths_since_last_record:3-20,0.44062301259078196,0.0003347390519648609,mths_since_last_record,33.99522636759548,34.0,0.004773632404521777,34.0
81,81,mths_since_last_record:21-31,0.35069795251537006,0.0018331120258265065,mths_since_last_record,27.057271049718363,27.0,-0.05727104971836283,27.0
82,82,mths_since_last_record:32-80,0.5029323264815785,3.9708403763590135e-09,mths_since_last_record,38.8025541058188,39.0,0.1974458941812003,39.0
83,83,mths_since_last_record:81-86,0.17583664997905546,0.0860510953859612,mths_since_last_record,13.566260837377556,14.0,0.4337391626224445,14.0
84,84,mths_since_last_record:>86,0.23268368872624862,0.005715218200585903,mths_since_last_record,17.952159656359786,18.0,0.047840343640213945,18.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
